identifier,smiles,bus
DEPQEV,NCCCNCCNCCCN,[1]
DEPQIZ,C1CNCCNC1,[1]
DEPQOF,C1CNCCNC1,[1]
DEPSEW,C1CN2CCC1CC2,[1]
DEPTOH,C1CN2CCC1CC2,[1]
DETLIA,c1cc(CCCc2ccncc2)ccn1,[1]
DETLOG,c1cc(CCCc2ccncc2)ccn1,[1]
DETLUM,c1cc(CCCc2ccncc2)ccn1,[1]
DETMAT,c1cc(CCCc2ccncc2)ccn1,[1]
DEWVAD,c1cc(CCc2ccncc2)ccn1,[]
DEXSEF,c1ccc(-c2ccccn2)nc1,[]
DIBMOS,NCCNCCN,"[14, 12]"
DIDLOU,CN(C)C,[]
DIFVAP,c1c[nH]cn1,[]
DIFYAS,Cc1cnc[nH]1,[]
DIKZIH,CC(N)CN,[0]
DIMVIG,NCCCN,[3]
DIMWED,NCCN,[1]
DINCIP,NCCCNCCNCCCN,[3]
DINRUQ,c1c[nH]c(-c2ncc[nH]2)n1,[1]
DIPGAM,C1CCNCC1,[]
DIPVIK,CNC,[2]
DIRBIP,CC(C)N,[1]
DISSOO,NCCNCCN,[1]
DISSUU,NCCNCCN,[1]
DISTAB,NCCNCCNCCNCCN,[1]
DIVMEB,C1CNCCN1,"[13, 4]"
DIVMIF,C1CNCCN1,"[13, 4]"
DIVMOL,C1CNCCN1,"[13, 4]"
DIVMUR,C1CNCCN1,"[13, 4]"
DIVNAY,C1CNCCN1,"[13, 4]"
DIVNIH,CNCCNC,"[2, 4]"
DIXHIC,NCCNCCN,[1]
DIZBAR,CNC,[]
DIZFOH,CN,[]
DIZJED,CNC,[]
DIZJUT,c1cc(-c2ccncc2)ccn1,"[6, 11]"
DIZYER,CN,[10]
DOBKOV,C1N2CN3CN1CN(C2)C3,[]
DODQOD,C1CNCCN1,[6]
DODQUJ,NCCN,[6]
DODRUJ,NCCN,[1]
DOHDOU,CNC,[7]
DOJQUQ,CNC,[3]
DOLFIV,CC(C)NC(C)C,[4]
DOMJIZ,c1ccc(-c2ccccn2)nc1,[4]
DOMJOF,c1cnc2c(c1)ccc1cccnc12,[4]
DONXOW,c1cc(-c2ccncc2)ccn1,"[2, 4]"
DOPZUF,NCCN,[2]
DOWQIP,NCCNCCN,[1]
DOWYAP,CC1CNCCN1,[1]
DOWZUK,CN1CCN(C)CC1,[1]
DUBBEI,NCCCN1CCN(CCCN)CC1,"[4, 1]"
DUCDOV,C1CCNCC1,[]
DUFBAJ,c1ccc2[nH]nnc2c1,[5]
DUFBEN,c1ccc2[nH]nnc2c1,[5]
DUHGET,c1cc(-c2ccncc2)ccn1,[4]
DUJGEX,c1cc(-c2ccncc2)ccn1,[1]
DUKMOL,Cc1ccccn1,[]
DUMBET,c1ccc2ncccc2c1,[1]
DUMFAT,N=C(N)N,[]
DUQCOK,c1cc(CCCc2ccncc2)ccn1,[1]
DUQYEU,CNC,[4]
DURPEM,c1ccncc1,[2]
DUSWAP10,NCCN,[5]
DUWQUJ,NCCN,"[4, 1]"
DUWRAQ,NCCCCN,"[4, 1]"
DUWREU,NCCCCN,"[4, 1]"
DUWROE,CN(C)CCCNCCCN(C)C,"[4, 1]"
DUWRUK,C1CNCCN1,"[4, 1]"
DUWSAR,NCCCNCCCN,"[4, 1]"
DUWTAS,NCCCN,"[4, 1]"
DUXHAH,Nc1ccc(N=Nc2ccccc2)cc1,[1]
DUXNIU,CC(N)CN,[11]
DUZKIT,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[10]
EBEWUG,CCCCCCN,[0]
EBEXAN,CCCCCN,[0]
EBEXER,CC(C)CN,"[0, 1]"
EBEXIV,NC1CCCCCCC1,[0]
EBEXOB,NC1CCCCC1,[0]
EBEXOY,Cc1nccn1C,[1]
EBITAL,NCCCN,[0]
