,encoded_mdes
907,mdes_GGI1
908,mdes_GGI2
909,mdes_GGI3
910,mdes_GGI4
911,mdes_GGI5
912,mdes_GGI6
913,mdes_GGI7
914,mdes_GGI8
915,mdes_GGI9
916,mdes_GGI10
917,mdes_JGI1
918,mdes_JGI2
919,mdes_JGI3
920,mdes_JGI4
921,mdes_JGI5
922,mdes_JGI6
923,mdes_JGI7
924,mdes_JGI8
925,mdes_JGI9
926,mdes_JGI10
927,mdes_JGT10
928,mdes_Diameter
929,mdes_Radius
930,mdes_TopoShapeIndex
931,mdes_PetitjeanIndex
932,mdes_Vabc
933,mdes_VAdjMat
934,mdes_MWC01
935,mdes_MWC02
936,mdes_MWC03
937,mdes_MWC04
938,mdes_MWC05
939,mdes_MWC06
940,mdes_MWC07
941,mdes_MWC08
942,mdes_MWC09
943,mdes_MWC10
944,mdes_TMWC10
945,mdes_SRW02
946,mdes_SRW03
947,mdes_SRW04
948,mdes_SRW05
949,mdes_SRW06
950,mdes_SRW07
951,mdes_SRW08
952,mdes_SRW09
953,mdes_SRW10
954,mdes_TSRW10
955,mdes_MW
956,mdes_AMW
957,mdes_WPath
958,mdes_WPol
959,mdes_Zagreb1
960,mdes_Zagreb2
961,mdes_mZagreb1
962,mdes_mZagreb2
963,mdes_Molecular weight
964,mdes_Atom count (C)
965,mdes_Atom count (N)
966,mdes_Refractivity
967,mdes_Aliphatic ring count
968,mdes_Aromatic ring count
969,mdes_Aliphatic atom count
970,mdes_Aromatic atom count
971,mdes_Bond count
972,mdes_Carboaliphatic ring count
973,mdes_Carboaromatic ring count
974,mdes_Carbo ring count
975,mdes_Chain atom count
976,mdes_Chiral center count
977,mdes_Ring atom count
978,mdes_Smallest ring size
979,mdes_Largest ring size
980,mdes_fsp3
981,mdes_Heteroaliphatic ring count
982,mdes_Heteroaromatic ring count
983,mdes_Rotatable bond count
984,mdes_Balaban index
985,mdes_Cyclomatic number
986,mdes_Hyper wiener index
987,mdes_Wiener index
988,mdes_Wiener polarity
989,mdes_Minimal projection area
990,mdes_Minimal projection radius
991,mdes_Maximal projection radius
992,mdes_Length perpendicular to the min area
993,mdes_Length perpendicular to the max area
994,mdes_van der Waals volume
995,mdes_Van der Waals surface area (3D)
996,mdes_bpKa1
997,mdes_bpKa1.1
998,mdes_fr_NH2
999,mdes_fr_NH1
1000,mdes_fr_NH0
1001,mdes_fr_ArN
1002,mdes_fr_Ar_NH
1003,mdes_fr_Imine
1004,mdes_fr_amidine
1005,mdes_fr_guanido
1006,mdes_fr_piperdine
1007,mdes_fr_piperzine
1008,mdes_fr_pyridine
1009,mdes_saoto_clusterlabel
